Danh mục (Cấp 1),Nhánh / Trang (Cấp 2),Thành phần / Tính năng chi tiết (Cấp 3),Nội dung chi tiết & Lưu ý triển khai (Cấp 4)
,Bán lẻ & Phân phối (Retail Chains),Chi tiết ngành bán lẻ,"- Hero: ""Hợp nhất chuỗi cửa hàng vật lý với CRM 360°...""- Customer Snapshot: Nam Phong, Elise, Sixdo (Nhấn mạnh thương hiệu thời trang).- Solution Stack: CRM 360° tích hợp POS+Ecom+Zalo OA; Marketing automation funnel; Computer Vision Heatmap & Footfall; Dynamic Pricing engine.- Section đặc biệt: ""Hệ sinh thái Flagship Sandbox"" show số liệu thực.- CTA: Đặt lịch tham quan Flagship store."
,Sản xuất & D2C (Manufacturing),Chi tiết ngành sản xuất,"- Hero: ""Số hóa chuỗi sản xuất từ nguyên liệu đến tay người tiêu dùng...""- Customer Snapshot: Masi (Bột cá), Ecowash, Liên Châu.- Solution Stack: MES + ERP integration (Open-ERP layer); D2C Commerce Platform; Traceability module nông sản.- Tài liệu: Sơ đồ kiến trúc kỹ thuật 1 trang cho CTO/CIO. Case study Masi Bột cá. ROI Snapshot (bảng chỉ số định lượng)."
,Kho bãi & Logistics (Warehousing),Chi tiết ngành kho,"- Hero: ""WMS hiệu năng cao xử lý hàng ngàn đơn/ngày — giảm 80% thời gian kiểm kê, đạt 99.90% độ chính xác"" (Học từ Trobz).- Case Study: Dược Vương (Section lớn + video walkthrough kho thực tế).- Solution Stack: WMS Core + RFID/Barcode; API tích hợp VTP, GHTK, GHN, J&T, Ahamove; Mobile picking app; Inventory Rebalancing AI.- Interactive Widget: Bộ công cụ tính toán ROI tự động.- CTA: Tải case study Dược Vương (PDF gated)."
,E-commerce Enterprise,Chi tiết ngành TMĐT,"- Hero: ""E-commerce Enterprise đồng bộ 100% với ERP, HRM, CRM...""- Differentiator vs Magenest: Nhấn mạnh không khóa nền tảng (Magento, Shopify Plus, hoặc Custom) và năng lực ""Liên minh"" sở hữu 10 chuyên gia in-house Portco.- Solution Stack: Headless commerce; Realtime ERP/WMS sync; CDP integration; Mobile-first PWA.- Section đấu thầu: Nhấn mạnh năng lực thực thi dự án tỷ đồng cho nhóm Tier 1 Enterprise."
,Khác biệt MADX & Trust Bar,So sánh & Chứng chỉ,"- Bảng so sánh 3 cột: SI Nền tảng đơn vs SI thông thường vs MADX (Nhấn mạnh: End-to-End, Sandbox thực tế, IP độc quyền).- Trust Bar: Logo khách hàng, đối tác công nghệ và thông tin chứng chỉ ISO/IEC 27001 (Sắp đạt)."
3. Sản phẩm & Nền tảng (Products),Các module sản phẩm lõi,Tính năng chi tiết từng nền tảng,"- Open-ERP Platform: Hệ thống lõi Open-ERP tích hợp liên thông.- POS & FaceID Engine: Công nghệ điểm bán nhận diện khuôn mặt khách hàng thân thiết.- Embedded BI Portal: Cổng báo cáo quản trị thông minh nhúng realtime.- AI Suite: Bộ giải pháp AI chuyên sâu (Forecasting, Co-pilot, Computer Vision).- Digilogue: Giải pháp số hóa marketing (E-Brochure, Smart Card)."
4. Dịch vụ (Services),Các mảng dịch vụ công nghệ,Chi tiết danh mục dịch vụ cung cấp,"- Tech Due Diligence: Thẩm định độc lập hạ tầng IT/OT.- ERP/HRM Implementation: Tư vấn may đo và triển khai ERP/HRM.- Custom Development: Phát triển phần mềm/tính năng theo yêu cầu.- Managed Services & Support: Vận hành, bảo trì và hỗ trợ 24/7.- Data & AI Consulting: Tư vấn chiến lược dữ liệu và xây dựng AI.- Digital Transformation Consulting: Tư vấn chiến lược Chuyển đổi số tổng thể."
5. KH & Case study,Danh sách case study khách hàng,Trang tổng hợp & Chi tiết từng case,"- Tất cả Case Study: Trang hub trung tâm có bộ lọc thông minh theo ngành nghề.- MedKing (Giathuoctot): Chuyên sâu về Kho bãi & Logistics dược phẩm.- Nam Phong: Chuyên sâu về Retails & POS.- Masi: Chuyên sâu về Sản xuất & mô hình D2C.- Equix: Chuyên sâu về giải pháp Fintech.- Quang Ich Education (QIG): Giải pháp giáo dục công nghệ.- Care Solutions: Hệ thống quản trị ERP, HRM.- Các khách hàng khác: GreenSpeed, Liên Châu, KA Logistics, Kyna For Kids."
6. Về MADx,Thông tin doanh nghiệp,Định vị và con người,"- Câu chuyện & Tầm nhìn: Lộ trình phát triển và định hướng tương lai.- Liên minh đối tác: Mạng lưới kết nối toàn cầu (Salesforce, SAP, AWS, GCP…).- Đội ngũ & Văn hóa: Giới thiệu nhân sự cốt lõi và môi trường làm việc.- Tin tức & Sự kiện: Hoạt động cộng đồng và tin tức doanh nghiệp."
7. Tài nguyên (Resources),Thư viện tài liệu chia sẻ,Các nội dung hỗ trợ/thu lead,- Blog kỹ thuật & Insights: Bài viết chuyên sâu về công nghệ và vận hành.- Whitepaper / Ebook tải về (gated): Tài liệu chuyên ngành cần để lại thông tin để tải.- Webinar & Sự kiện: Các buổi hội thảo trực tuyến và trực tiếp.- Tech DD Sample Report: Bản báo cáo mẫu của dịch vụ Tech Due Diligence để khách hàng tham khảo.
